NC,NN,MN,V,D1C,D1N,D2N,D3N,D4N
6,Município,Hectares,25077,3555000,Tupã (SP),Área plantada ou destinada à colheita,2016,Total
6,Município,Hectares,250,3555000,Tupã (SP),Área plantada ou destinada à colheita,2016,Abacate
6,Município,Hectares,-,3555000,Tupã (SP),Área plantada ou destinada à colheita,2016,Abacaxi*
6,Município,Hectares,-,3555000,Tupã (SP),Área plantada ou destinada à colheita,2016,Açaí
6,Município,Hectares,...,3555000,Tupã (SP),Área plantada ou destinada à colheita,2016,Alfafa fenada
6,Município,Hectares,-,3555000,Tupã (SP),Área plantada ou destinada à colheita,2016,Algodão arbóreo (em caroço)
6,Município,Hectares,-,3555000,Tupã (SP),Área plantada ou destinada à colheita,2016,Algodão herbáceo (em caroço)
6,Município,Hectares,-,3555000,Tupã (SP),Área plantada ou destinada à colheita,2016,Alho
6,Município,Hectares,9340,3555000,Tupã (SP),Área plantada ou destinada à colheita,2016,Amendoim (em casca)
6,Município,Hectares,10,3555000,Tupã (SP),Área plantada ou destinada à colheita,2016,Arroz (em casca)
6,Município,Hectares,-,3555000,Tupã (SP),Área plantada ou destinada à colheita,2016,Aveia (em grão)
6,Município,Hectares,-,3555000,Tupã (SP),Área plantada ou destinada à colheita,2016,Azeitona
6,Município,Hectares,-,3555000,Tupã (SP),Área plantada ou destinada à colheita,2016,Banana (cacho)
6,Município,Hectares,-,3555000,Tupã (SP),Área plantada ou destinada à colheita,2016,Batata-doce
6,Município,Hectares,-,3555000,Tupã (SP),Área plantada ou destinada à colheita,2016,Batata-inglesa
6,Município,Hectares,-,3555000,Tupã (SP),Área plantada ou destinada à colheita,2016,Borracha (látex coagulado)
6,Município,Hectares,...,3555000,Tupã (SP),Área plantada ou destinada à colheita,2016,Borracha (látex líquido)
6,Município,Hectares,-,3555000,Tupã (SP),Área plantada ou destinada à colheita,2016,Cacau (em amêndoa)
6,Município,Hectares,-,3555000,Tupã (SP),Área plantada ou destinada à colheita,2016,Café (em grão) Total
6,Município,Hectares,-,3555000,Tupã (SP),Área plantada ou destinada à colheita,2016,Café (em grão) Arábica
6,Município,Hectares,-,3555000,Tupã (SP),Área plantada ou destinada à colheita,2016,Café (em grão) Canephora
